id_usuario,variante,convirtio,dispositivo,pais,duracion_sesion,timestamp
exp_user_154,control,0,mobile,Mexico,298.36,2025-02-22
exp_user_155,control,0,desktop,Argentina,192.57,2025-04-27
exp_user_156,tratamiento,0,desktop,Colombia,195.58,2025-03-25
exp_user_157,control,0,desktop,Argentina,175,2025-06-06
exp_user_158,tratamiento,0,desktop,Mexico,140.19,2025-05-01
exp_user_159,tratamiento,0,mobile,Argentina,152.11,2025-01-06
exp_user_160,control,0,desktop,Colombia,150.68,2025-01-14
exp_user_161,control,0,desktop,Argentina,127.75,2025-03-07
exp_user_162,control,0,mobile,Colombia,136.68,2025-03-01
exp_user_163,control,0,desktop,Argentina,282.84,2025-02-17
exp_user_164,tratamiento,0,mobile,Colombia,50.34,2025-01-23
exp_user_165,tratamiento,0,mobile,Colombia,41.75,2025-05-18
exp_user_166,control,1,desktop,Argentina,25.73,2025-03-09
exp_user_167,tratamiento,0,desktop,Argentina,84.23,2025-02-22
exp_user_168,tratamiento,1,desktop,Argentina,21.18,2025-04-20
exp_user_169,tratamiento,1,desktop,Argentina,276.07,2025-06-12
exp_user_170,tratamiento,0,mobile,Mexico,134.07,2025-01-18
exp_user_171,control,1,mobile,Argentina,257.34,2025-03-12
exp_user_172,control,0,desktop,Argentina,202.36,2025-03-09
exp_user_173,control,0,desktop,Colombia,85.26,2025-06-09
exp_user_174,control,0,desktop,Colombia,209.36,2025-01-29
exp_user_175,tratamiento,0,desktop,Mexico,269.67,2025-05-13
exp_user_176,tratamiento,0,mobile,Mexico,112.26,2025-05-20
exp_user_177,control,0,mobile,Argentina,262.09,2025-02-03
exp_user_178,tratamiento,0,mobile,Mexico,265.64,2025-05-26
exp_user_179,control,1,mobile,Colombia,159.19,2025-05-08
exp_user_180,tratamiento,1,mobile,Colombia,99.69,2025-04-28
exp_user_181,tratamiento,0,desktop,Colombia,93.2,2025-04-12
exp_user_182,tratamiento,0,mobile,Argentina,24.24,2025-02-14
exp_user_183,tratamiento,0,mobile,Colombia,70.99,2025-01-30
exp_user_184,control,0,mobile,Colombia,135.06,2025-06-12
exp_user_185,tratamiento,1,desktop,Mexico,174.33,2025-04-12
exp_user_186,control,0,desktop,Colombia,279.66,2025-01-11
exp_user_187,control,0,mobile,Argentina,192.37,2025-04-22
exp_user_188,control,0,desktop,Mexico,176.74,2025-04-19
exp_user_189,control,0,mobile,Argentina,70.9,2025-05-08
exp_user_190,tratamiento,0,mobile,Mexico,135.68,2025-01-02
exp_user_191,tratamiento,0,mobile,Argentina,66.38,2025-03-13
exp_user_192,control,0,mobile,Colombia,247.21,2025-05-24
exp_user_193,tratamiento,0,mobile,Argentina,31.71,2025-06-11
exp_user_194,control,0,desktop,Mexico,30.43,2025-01-01
exp_user_195,tratamiento,0,desktop,Mexico,144.37,2025-04-26
exp_user_196,tratamiento,0,desktop,Mexico,175.06,2025-01-04
exp_user_197,control,0,desktop,Colombia,71.01,2025-05-13
exp_user_198,tratamiento,0,desktop,Colombia,92.3,2025-02-12
exp_user_199,control,1,desktop,Mexico,80.29,2025-03-10
exp_user_200,tratamiento,0,mobile,Colombia,237.85,2025-02-23
exp_user_201,control,0,desktop,Colombia,100.48,2025-04-27
exp_user_202,tratamiento,1,desktop,Colombia,42.76,2025-01-04
exp_user_203,control,0,desktop,Mexico,197.66,2025-06-30
exp_user_204,control,0,desktop,Argentina,272.42,2025-06-01
exp_user_205,tratamiento,0,desktop,Argentina,240.98,2025-01-15
exp_user_206,control,1,mobile,Argentina,142.5,2025-06-02
exp_user_207,control,0,mobile,Argentina,32.69,2025-04-26
exp_user_208,tratamiento,0,mobile,Mexico,285.03,2025-03-31
exp_user_209,control,0,mobile,Colombia,34.73,2025-01-17
exp_user_210,tratamiento,0,mobile,Colombia,217.15,2025-06-14
exp_user_211,control,1,desktop,Mexico,159.37,2025-04-18
exp_user_212,tratamiento,0,desktop,Argentina,281.62,2025-05-25
exp_user_213,tratamiento,0,desktop,Mexico,61.21,2025-02-24
exp_user_214,control,0,desktop,Argentina,55.81,2025-02-13
exp_user_215,control,0,desktop,Mexico,293.14,2025-03-05
exp_user_216,control,0,mobile,Argentina,63.55,2025-06-24
exp_user_217,control,0,desktop,Colombia,150.35,2025-05-17
exp_user_218,control,0,mobile,Colombia,206.56,2025-06-07
exp_user_219,control,0,mobile,Mexico,260.73,2025-06-26
exp_user_220,control,0,desktop,Argentina,148.95,2025-02-01
exp_user_221,tratamiento,0,desktop,Colombia,252.55,2025-01-15
exp_user_222,tratamiento,0,desktop,Colombia,41.17,2025-06-02
exp_user_223,tratamiento,0,desktop,Argentina,190.64,2025-03-29
exp_user_224,tratamiento,1,mobile,Colombia,181.96,2025-01-09
exp_user_225,control,0,desktop,Mexico,45.81,2025-03-06
exp_user_226,tratamiento,1,desktop,Colombia,36.48,2025-05-25
exp_user_227,control,1,mobile,Mexico,76.96,2025-02-13
exp_user_228,tratamiento,0,desktop,Colombia,74.18,2025-06-11
exp_user_229,control,0,mobile,Argentina,164.15,2025-01-24
exp_user_230,tratamiento,0,desktop,Argentina,295.28,2025-03-11
exp_user_231,control,0,desktop,Argentina,40.13,2025-06-06
exp_user_232,tratamiento,0,mobile,Argentina,277.2,2025-06-04
exp_user_233,tratamiento,0,desktop,Mexico,46.47,2025-03-02
exp_user_234,tratamiento,0,mobile,Argentina,124.48,2025-04-24
exp_user_235,control,1,desktop,Argentina,208.53,2025-04-18
exp_user_236,control,0,mobile,Mexico,71.05,2025-04-22
exp_user_237,control,0,desktop,Mexico,277.54,2025-05-18
exp_user_238,tratamiento,0,desktop,Mexico,291.83,2025-01-09
exp_user_239,control,0,mobile,Colombia,248.19,2025-03-26
exp_user_240,control,1,desktop,Mexico,273.96,2025-01-08
exp_user_241,control,0,desktop,Mexico,241.53,2025-01-06
exp_user_242,tratamiento,1,desktop,Mexico,137.46,2025-01-29
exp_user_243,control,0,mobile,Colombia,100.32,2025-02-11
exp_user_244,tratamiento,0,mobile,Colombia,121.49,2025-04-22
exp_user_245,tratamiento,0,mobile,Mexico,257.6,2025-06-09
exp_user_246,control,0,mobile,Argentina,124.23,2025-05-01
exp_user_247,control,0,desktop,Mexico,126.95,2025-06-29
exp_user_248,tratamiento,0,mobile,Colombia,169,2025-01-27
exp_user_249,control,0,mobile,Argentina,181.24,2025-05-31
exp_user_250,control,1,desktop,Colombia,123.89,2025-06-10
exp_user_251,tratamiento,0,mobile,Argentina,159.19,2025-01-11
exp_user_252,control,1,desktop,Colombia,202.98,2025-01-12
exp_user_253,control,0,desktop,Argentina,160.28,2025-06-15
exp_user_254,control,0,mobile,Colombia,291.64,2025-05-31
exp_user_255,tratamiento,1,desktop,Colombia,20.62,2025-01-07
exp_user_256,tratamiento,0,mobile,Mexico,264.11,2025-06-10
exp_user_257,tratamiento,1,mobile,Mexico,234.27,2025-05-23
exp_user_258,control,1,desktop,Colombia,106.14,2025-04-06
exp_user_259,tratamiento,0,desktop,Colombia,72.67,2025-05-13
exp_user_260,control,0,mobile,Argentina,165.15,2025-02-15
exp_user_261,tratamiento,0,desktop,Argentina,191.89,2025-04-26
exp_user_262,control,0,mobile,Mexico,150.7,2025-01-28
exp_user_263,tratamiento,1,mobile,Argentina,45.87,2025-04-05
exp_user_264,tratamiento,1,mobile,Argentina,71.58,2025-03-06
exp_user_265,tratamiento,0,desktop,Argentina,23.63,2025-02-17
exp_user_266,tratamiento,0,mobile,Argentina,160.62,2025-03-27
exp_user_267,control,0,desktop,Mexico,112.39,2025-03-09
exp_user_268,control,0,desktop,Argentina,259.28,2025-03-22
exp_user_269,tratamiento,0,desktop,Argentina,123.44,2025-05-13
exp_user_270,control,0,mobile,Argentina,239.07,2025-03-13
exp_user_271,tratamiento,0,mobile,Argentina,281.77,2025-06-11
exp_user_272,tratamiento,1,desktop,Mexico,243.55,2025-01-20
exp_user_273,tratamiento,0,mobile,Colombia,298.35,2025-06-07
exp_user_274,control,0,desktop,Mexico,136.16,2025-05-29
exp_user_275,tratamiento,1,mobile,Colombia,82.46,2025-01-01
exp_user_276,tratamiento,1,desktop,Colombia,212.67,2025-01-31
exp_user_277,tratamiento,0,desktop,Colombia,138.89,2025-03-10
exp_user_278,tratamiento,0,mobile,Mexico,176.6,2025-06-07
exp_user_279,control,0,mobile,Mexico,180.61,2025-05-18
exp_user_280,tratamiento,0,desktop,Argentina,266.67,2025-02-07
exp_user_281,control,0,desktop,Colombia,54.86,2025-03-03
exp_user_282,tratamiento,0,mobile,Mexico,98.86,2025-04-30
exp_user_283,control,1,mobile,Argentina,290.4,2025-02-17
exp_user_284,tratamiento,0,mobile,Colombia,131.04,2025-01-17
exp_user_285,control,0,desktop,Colombia,248.24,2025-02-23
exp_user_286,control,0,mobile,Argentina,88.37,2025-06-19
exp_user_287,tratamiento,0,desktop,Argentina,58.95,2025-05-30
exp_user_288,tratamiento,0,desktop,Colombia,264.84,2025-03-23
exp_user_289,control,0,mobile,Mexico,121.36,2025-02-11
exp_user_290,control,0,mobile,Argentina,129.89,2025-02-27
exp_user_291,tratamiento,1,mobile,Mexico,44.25,2025-04-12
exp_user_292,tratamiento,0,mobile,Argentina,113.26,2025-06-22
exp_user_293,tratamiento,1,desktop,Mexico,224.57,2025-04-20
exp_user_294,tratamiento,1,desktop,Colombia,199.45,2025-04-14
exp_user_295,control,0,desktop,Argentina,237.71,2025-01-27
exp_user_296,control,1,desktop,Argentina,254.44,2025-05-29
exp_user_297,tratamiento,0,mobile,Argentina,259.09,2025-05-03
exp_user_298,tratamiento,0,desktop,Mexico,133.12,2025-03-12
exp_user_299,control,0,desktop,Mexico,237.75,2025-06-01
exp_user_300,tratamiento,0,mobile,Colombia,269.27,2025-04-06
exp_user_301,tratamiento,0,mobile,Mexico,160.53,2025-03-06
exp_user_302,control,0,mobile,Argentina,87.41,2025-06-29
exp_user_303,tratamiento,0,desktop,Colombia,289.4,2025-03-02
exp_user_304,tratamiento,0,desktop,Argentina,68.42,2025-05-04
exp_user_305,control,0,desktop,Colombia,156.24,2025-01-05
exp_user_306,tratamiento,0,mobile,Mexico,67.78,2025-05-10
exp_user_307,tratamiento,0,mobile,Colombia,248.33,2025-01-21
exp_user_308,tratamiento,0,desktop,Mexico,164.36,2025-04-24
exp_user_309,control,0,mobile,Mexico,37.49,2025-02-10
exp_user_310,control,1,mobile,Colombia,221.09,2025-01-11
exp_user_311,tratamiento,0,desktop,Mexico,181.26,2025-01-02
exp_user_312,control,0,desktop,Argentina,211.84,2025-03-19
exp_user_313,tratamiento,1,mobile,Colombia,87.5,2025-06-21
exp_user_314,control,0,desktop,Mexico,247.78,2025-05-01
exp_user_315,tratamiento,0,desktop,Mexico,298.62,2025-01-01
exp_user_316,tratamiento,0,mobile,Colombia,103.43,2025-02-07
exp_user_317,tratamiento,0,mobile,Mexico,90.24,2025-03-18
exp_user_318,tratamiento,0,desktop,Argentina,149.35,2025-06-04
exp_user_319,tratamiento,0,desktop,Mexico,212.14,2025-03-20
exp_user_320,control,0,mobile,Mexico,125.95,2025-03-28
exp_user_321,tratamiento,1,mobile,Mexico,28.49,2025-03-04
exp_user_322,control,0,mobile,Colombia,165.6,2025-05-09
exp_user_323,control,0,mobile,Argentina,27.32,2025-05-01
exp_user_324,control,0,mobile,Mexico,38.74,2025-06-12
exp_user_325,control,0,mobile,Colombia,46.74,2025-05-30
exp_user_326,tratamiento,0,mobile,Colombia,75.99,2025-03-31
exp_user_327,control,0,desktop,Argentina,118.98,2025-02-03
exp_user_328,tratamiento,0,desktop,Mexico,104.9,2025-05-10
exp_user_329,tratamiento,0,mobile,Colombia,221.48,2025-01-28
exp_user_330,control,1,desktop,Argentina,57.07,2025-01-01
exp_user_331,tratamiento,0,mobile,Colombia,101.48,2025-03-21
exp_user_332,control,0,desktop,Mexico,121.88,2025-05-09
exp_user_333,tratamiento,0,mobile,Colombia,81.18,2025-01-05
exp_user_334,control,0,mobile,Mexico,181.12,2025-01-31
exp_user_335,control,1,desktop,Mexico,162.56,2025-04-04
exp_user_336,control,1,mobile,Mexico,107.04,2025-04-17
exp_user_337,control,0,mobile,Mexico,167.23,2025-02-21
exp_user_338,tratamiento,0,desktop,Colombia,175.85,2025-03-29
exp_user_339,control,0,desktop,Mexico,25.3,2025-03-20
exp_user_340,control,0,desktop,Argentina,257.27,2025-05-16
exp_user_341,tratamiento,0,desktop,Argentina,281.69,2025-04-16
exp_user_342,tratamiento,1,desktop,Mexico,125.81,2025-02-16
exp_user_343,control,0,mobile,Mexico,149.83,2025-06-06
exp_user_344,tratamiento,1,mobile,Colombia,236.71,2025-01-26
exp_user_345,control,0,mobile,Mexico,160.73,2025-04-06
exp_user_346,tratamiento,0,desktop,Argentina,177.97,2025-06-20
exp_user_347,control,0,mobile,Colombia,158,2025-02-21
exp_user_348,control,1,desktop,Argentina,239.7,2025-01-23
exp_user_349,tratamiento,0,mobile,Argentina,33.84,2025-03-08
exp_user_350,tratamiento,0,mobile,Argentina,165.69,2025-06-28
exp_user_351,tratamiento,0,mobile,Colombia,184.48,2025-05-14
exp_user_352,tratamiento,1,mobile,Argentina,50.38,2025-03-31
exp_user_353,tratamiento,0,desktop,Mexico,190.54,2025-03-19
exp_user_354,tratamiento,1,desktop,Argentina,186.28,2025-04-29
exp_user_355,tratamiento,0,mobile,Colombia,292.9,2025-06-08
exp_user_356,tratamiento,0,mobile,Mexico,209.67,2025-01-20
exp_user_357,control,0,mobile,Argentina,205.42,2025-04-20
exp_user_358,control,0,mobile,Argentina,35.96,2025-01-22
exp_user_359,tratamiento,1,desktop,Argentina,21.14,2025-04-08
exp_user_360,control,0,mobile,Colombia,123.66,2025-03-23
exp_user_361,tratamiento,1,desktop,Mexico,166.24,2025-01-17
exp_user_362,control,0,desktop,Mexico,109.85,2025-03-07
exp_user_363,control,0,mobile,Colombia,134.95,2025-02-08
exp_user_364,control,0,mobile,Argentina,148.97,2025-05-25
exp_user_365,control,0,desktop,Mexico,232.26,2025-06-30
exp_user_366,control,0,mobile,Colombia,208.68,2025-04-20
exp_user_367,control,0,mobile,Argentina,291.5,2025-06-08
exp_user_368,tratamiento,1,desktop,Argentina,147.31,2025-06-19
exp_user_369,tratamiento,0,desktop,Colombia,245.24,2025-01-11
exp_user_370,control,0,desktop,Colombia,264.8,2025-02-20
exp_user_371,tratamiento,1,desktop,Mexico,162.24,2025-05-06
exp_user_372,control,0,desktop,Argentina,271.62,2025-05-14
exp_user_373,control,1,desktop,Argentina,282.12,2025-01-23
exp_user_374,control,0,mobile,Argentina,28.13,2025-05-23
exp_user_375,control,0,mobile,Argentina,176.89,2025-02-13
exp_user_376,tratamiento,0,desktop,Argentina,128.54,2025-03-21
exp_user_377,tratamiento,0,desktop,Mexico,141.65,2025-06-06
exp_user_378,control,0,desktop,Colombia,47.69,2025-06-18
exp_user_379,tratamiento,0,desktop,Mexico,96.54,2025-03-31
exp_user_380,control,0,mobile,Colombia,23.81,2025-06-28
exp_user_381,tratamiento,0,mobile,Mexico,38.65,2025-05-04
exp_user_382,control,0,desktop,Colombia,190.14,2025-05-31
exp_user_383,tratamiento,0,desktop,Mexico,244.73,2025-01-22
exp_user_384,tratamiento,0,desktop,Argentina,37.25,2025-01-17
exp_user_385,control,1,mobile,Mexico,116.59,2025-03-14
exp_user_386,control,0,mobile,Mexico,272.59,2025-01-08
exp_user_387,tratamiento,1,desktop,Argentina,22.88,2025-03-01
exp_user_388,control,0,desktop,Argentina,38.41,2025-04-06
exp_user_389,control,0,desktop,Mexico,194.81,2025-02-28
exp_user_390,control,0,mobile,Argentina,217.59,2025-05-26
exp_user_391,control,0,desktop,Mexico,185.78,2025-04-23
exp_user_392,tratamiento,1,mobile,Argentina,215.61,2025-04-27
exp_user_393,control,0,mobile,Argentina,190.8,2025-04-25
exp_user_394,tratamiento,0,desktop,Argentina,21.89,2025-06-14
exp_user_395,control,0,mobile,Argentina,290.65,2025-06-02
exp_user_396,control,0,desktop,Mexico,165.61,2025-04-13
exp_user_397,control,1,mobile,Argentina,170.67,2025-06-16
exp_user_398,tratamiento,1,mobile,Colombia,183.67,2025-04-18
exp_user_399,tratamiento,0,mobile,Mexico,179.2,2025-06-06
exp_user_400,control,0,mobile,Argentina,124.57,2025-01-24
exp_user_401,control,1,desktop,Argentina,231.45,2025-03-27
exp_user_402,tratamiento,0,mobile,Mexico,127.42,2025-01-04
exp_user_403,control,0,desktop,Colombia,128.29,2025-04-14
exp_user_404,tratamiento,0,desktop,Colombia,28.48,2025-03-19
exp_user_405,control,1,desktop,Mexico,294.72,2025-01-02
exp_user_406,control,0,desktop,Argentina,106.61,2025-01-28
exp_user_407,control,0,mobile,Colombia,31.67,2025-03-13
exp_user_408,tratamiento,0,mobile,Colombia,42.79,2025-01-25
exp_user_409,control,1,desktop,Colombia,241.46,2025-03-21
exp_user_410,control,1,desktop,Mexico,144.41,2025-06-21
exp_user_411,tratamiento,0,mobile,Argentina,146.02,2025-05-15
exp_user_412,control,0,mobile,Colombia,110.1,2025-05-14
exp_user_413,tratamiento,0,mobile,Colombia,278.05,2025-03-05
exp_user_414,control,0,mobile,Colombia,253.89,2025-03-18
exp_user_415,control,0,desktop,Mexico,100.52,2025-04-20
exp_user_416,control,0,desktop,Colombia,173.93,2025-01-26
exp_user_417,tratamiento,1,mobile,Colombia,36.79,2025-01-09
exp_user_418,tratamiento,0,mobile,Argentina,26.76,2025-03-26
exp_user_419,control,0,mobile,Colombia,245.97,2025-06-16
exp_user_420,control,1,mobile,Mexico,263.3,2025-06-16
exp_user_421,tratamiento,0,desktop,Colombia,297.71,2025-05-02
